Title,Category,Year,Violence
Prince of Persia,Platform,1990,False
Prince of Persia 2: The Shadow and the Flame,Platform,1993,False
Privateer 2: The Darkening,Simulation,1996,False
Project-X,Shooter,1994,False
Psion Chess,Traditional,1985,False
Psionics,Role-Playing,1993,True
Putt-Putt Goes to the Moon,Educational,1993,False
Putt-Putt Joins the Parade,Educational,1992,False
Puzzle Fun-Pak,Puzzle,1987,False
Pyromania,Arcade,1997,False
Quadnet,Shooter,1998,False
Quake,First-Person Shooter,1996,True
Quarantine,First-Person Shooter,1994,True
Quiver,First-Person Shooter,1997,True
Radix: Beyond the Void,First-Person Shooter,1995,True
Ragnarok,Role-Playing,1992,True
Rally Challenge,Racing,1996,False
Rally-Sport,Racing,1996,False
Raptor: Call of the Shadows,Shooter,1994,False
Ravage,Shooter,1996,False
Ravenloft: Strahd's Possession,Role-Playing,1994,True
Rayman,Platform,1995,False
Rayman Gold,Platform,1997,False
Realms of Arkania III: Shadows over Riva,Role-Playing,1996,True
Realms of Arkania: Blade of Destiny,Role-Playing,1992,True
Realms of Arkania: Star Trail,Role-Playing,1994,True
Realms of Chaos,Platform,1995,False
Realms of the Haunting,Adventure,1997,True
Rebel Decade Chess,Traditional,2000,False
Red Baron,Simulation,1990,False
Redhook's Revenge,Traditional,1993,False
Redneck Rampage,First-Person Shooter,1997,True
Relentless: Twinsen's Adventure,Adventure,1994,False
Return to Zork,Adventure,1993,False
Revenge of the Mutant Camels,Shooter,1994,False
Revolt of Don's Knights,Role-Playing,1996,True
Rex Blade: The Apocalypse,First-Person Shooter,1996,True
Rex Nebular and the Cosmic Gender Bender,Adventure,1992,True
Rings of the Magi,Traditional,1995,False
Rise of the Robots,Fighting,1994,True
Rise of the Triad,First-Person Shooter,1994,True
Road Hog!,Racing,1995,False
Road Warrior,First-Person Shooter,1995,True
Robbo,Puzzle,1994,False
Rogue,Role-Playing,1983,False
Roketz,Shooter,1996,False
Roomz,Miscellaneous,1980,False
Roxx,Arcade,1995,False
Sam & Max Hit the Road,Adventure,1993,False
Sand Storm,Arcade,1992,False
Sandwarriors,Simulation,1997,False
Sango Fighter,Fighting,1993,True
Sango Fighter 2,Fighting,1995,True
Satori,Puzzle,1990,False
Savage Warriors,Fighting,1995,True
Scorched Earth,Arcade,1991,False
Scorched Planet,First-Person Shooter,1996,True
Screamer,Racing,1995,False
Screamer 2,Racing,1996,False
Secret Agent: The Hunt for Red Rock Rover,Platform,1992,False
The Secret of Monkey Island,Adventure,1990,False
Seek and Destroy,Shooter,1996,False
The Settlers,Real-Time Strategy,1994,False
The Settlers II Gold Edition,Real-Time Strategy,1997,False
"The Settlers II: Veni, Vidi, Vici",Real-Time Strategy,1996,False
The Seventh Sword of Mendor,Role-Playing,1995,False
Shadow Warrior,First-Person Shooter,1997,True
ShadowCaster,Role-Playing,1993,True
ShadowForce,Adventure,1994,True
Shakii the Wolf,Platform,1995,False
Shattered Steel,Simulation,1996,False
Shaw's Nightmare,First-Person Shooter,2013,True
Shaw's Nightmare II,First-Person Shooter,2016,True
Shooting Gallery,Traditional,1995,False
Sid Meier's Colonization,Turn-Based Strategy,1994,False
Sid Meier's Pirates!,Adventure,1987,True
SideLine,Shooter,1996,False
Silmar,Role-Playing,1991,False
SimCity,Real-Time Strategy,1989,False
SimCity 2000,Real-Time Strategy,1993,False
Simon the Sorcerer,Adventure,1993,False
"Simon the Sorcerer II: The Lion, the Wizard and the Wardrobe",Adventure,1995,False
Sint Nicolaas,Platform,1998,False
Skunny,Platform,1995,False
Skunny in the Wild West,Platform,1993,False
Skunny Kart,Racing,1993,False
Skunny: Back to the Forest,Platform,1993,False
Skunny: Desert Raid,Shooter,1990,False
Skunny: Lost in Space,Shooter,1993,False
Skunny: Save our Pizza's,Platform,1993,False
SkyNET,First-Person Shooter,1996,True
SkyRoads,Arcade,1993,False
SkyRoads Xmas Special,Arcade,1994,False
Slicks 'n' Slide,Racing,1993,False
Slipstream 5000,Racing,1995,False
Snake,Arcade,2012,False
Solar Winds,Shooter,1993,False
Soldiers of Fortune,Shooter,1994,False
Solitile,Traditional,1991,False
Sopwith,Shooter,1986,False
Sopwith II,Shooter,1984,False
Space Pilot,Shooter,1994,False
Space Quest III: The Pirates of Pestulon,Adventure,1989,False
Spear of Destiny,First-Person Shooter,1992,True
Speed Haste,Racing,1995,False
Speed Racer in The Challenge of Racer X,Racing,1993,False
Spit Wad Willy,Miscellaneous,1993,False
SplayMaster,Shooter,1996,False
SPMBT,Turn-Based Strategy,2002,False
SPWW2,Turn-Based Strategy,1999,False
Squarez Deluxe,Puzzle,1993,False
Star Castle PC,Arcade,1994,False
Star Command: Revolution,Real-Time Strategy,1997,False
Star Control 3,Real-Time Strategy,1996,False
Star Control II,Adventure,1992,False
Star Crusader,Simulation,1994,False
Star Quest I in the 27th Century,Simulation,1995,False
Star Wars: Dark Forces,First-Person Shooter,1995,True
